अफ़्रीका	África
अबू धाबी	Abu Dhabi
अस्ताना	Astana
नया मेक्सिको	Novo México
रामेसेस द्वितीय	Ramsés II
एथेंस	Atenas
रामेसेस प्रथम	Ramsés I
मिनेसोटा	Minnesota
बग़दाद	Bagdá
काराकास	Caracas
समन्वित सार्वत्रिक समय	Tempo Universal Coordenado
विस्कॉन्सिन	Wisconsin
पुणे	Pune
सिसरो	Cícero
एसी मिलान	Associazione Calcio Milan
आयोवा	Iowa
नेब्रास्का	Nebraska
ग्वाटेमाला नगर	Cidade da Guatemala
केन्सास	Kansas
हवाना	Havana
तम्बाकू	Tabaco
हिन्दी	Língua hindi
मराठी भाषा	Língua marata
अवास्ट!	Avast! Antivírus
इण्टरनेट ऍक्सप्लोरर	Internet Explorer
सिगार	Charuto
सिगरेट	Cigarro
गणेश	Ganexa
मिज़ूरी	Missouri
जॉर्ज साइमन ओम	Georg Simon Ohm
लुईज़ियाना	Luisiana
नागालैण्ड	Nagaland
केन्टकी	Kentucky
अल्फा रोमियो 159	Alfa Romeo 159
आर्कन्सा	Arkansas
उर्दू भाषा	Língua urdu
ओक्लाहोमा	Oklahoma
डैन्यूब नदी	Rio Danúbio
मो फरहा	Mo Farah
उत्तरी सागर	Mar do Norte
काइल	Kiel
पॉट्सडैम	Potsdam
हनोवर	Hanôver
डसेलडॉर्फ़	Düsseldorf
मैन्ज़	Mainz
विसबैडेन	Wiesbaden
सारब्रुकेन	Saarbrücken
म्यूनिख	Munique
समारा ओब्लास्त	Oblast de Samara
अरफ़र्ट	Erfurt
ड्रेसडेन	Dresden
मागदेबुर्ग	Magdeburgo
वालीबॉल	Voleibol
वियना	Viena
मैडोना (मनोरंजनकर्ता)	Madonna
कोपनहेगन	Copenhaga
स्टॉकहोम	Estocolmo
हेलसिंकी	Helsínquia
मूरमान्स्क ओब्लास्त	Oblast de Murmansk
डबलिन	Dublin
मूरमान्स्क	Murmansk
रेक्जाविक	Reykjavík
ताल्लिन	Tallinn
रीगा	Riga
ज़ांज़ीबार	Zanzibar
लुईस आर्मस्ट्रांग	Louis Armstrong
बुडापेस्ट	Budapeste
फ़्रैंकफ़र्ट	Frankfurt am Main
कोच्चि	Cochim
लाञ्थनम	Lantânio
प्रोमेथियम	Promécio
खगोलीय इकाई	Unidade astronômica
सैमरियम	Samário
आचे	Achém
ग्याडोलिनियम	Gadolínio
ज़िनेदिन जिदेन	Zinédine Zidane
टर्बियम	Térbio
कैथोलिक धर्म	Catolicismo
डिस्प्रोसियम	Disprósio
बाइबिल	Bíblia
होल्मियम	Hólmio
अर्बियम	Érbio
नामपेन्ह	Phnom Penh
थुलियम	Túlio
हो ची मिन्ह शहर	Cidade de Ho Chi Minh
यिट्टरबियम	Itérbio
लुटेटियम	Lutécio
हनोई	Hanói
ईसा मसीह सत्य गिरजाघर	Verdadeira Igreja de Jesus
अंग्रेज़ी भाषा	Língua inglesa
बैंकॉक	Banguecoque
कुआ लालम्पुर	Kuala Lumpur
ताइपे	Taipé
आरख़ान्गेल्स्क ओब्लास्त	Oblast de Arkhangelsk
क्यूरियम	Cúrio
कॉन्सेप्सिओन	Concepción (Chile)
बर्केलियम	Berquélio
राजनय	Diplomacia
आइंस्टीनियम	Einstênio
पेत्रोज़ावोद्स्क	Petrozavodsk
फर्मीयम	Férmio
मेण्डेलीवियम	Mendelévio
कीव	Kiev
नोबेलियम	Nobélio
ओण्टारियो	Ontário
लॉरेंशियम	Laurêncio
कारेलिया गणतंत्र	República da Carélia
ओटावा	Ottawa
शुक्र का वायुमंडल	Atmosfera de Vênus
बृहस्पति के प्राकृतिक उपग्रह	Satélites de Júpiter
जुबा	Juba (Sudão do Sul)
मानिटोबा	Manitoba
अल्बर्टा	Alberta
येरवान	Erevan
कोंस्कोवोला	Końskowola
दार अस सलाम	Dar es Salaam
खार्तूम	Cartum
फ़ॉर्मूला वन	Fórmula 1
शनि के प्राकृतिक उपग्रह	Satélites de Saturno
ब्रिटिश कोलम्बिया	Colúmbia Britânica
२०००	2000
२००३	2003
२००२	2002
२००१	2001
२०१२	2012
२०११	2011
२०१०	2010
२००९	2009
कार्बन डाईऑक्साइड	Dióxido de carbono
२०१३	2013
२०१४	2014
२०१५	2015
२००८	2008
जावास्क्रिप्ट	JavaScript
२००४	2004
२००५	2005
ड्रैगन बॉल	Dragon Ball
२००६	2006
२००७	2007
कार्बन मोनोआक्साइड	Monóxido de carbono
लिनक्स मिण्ट	Linux Mint
वेरोना	Verona
नोटपैड++	Notepad++
१९००	1900
१९०१	1901
चार्ल्स डी गॉल	Charles de Gaulle
१९०२	1902
फ़्लोरेन्स	Florença
१९०३	1903
१९०४	1904
१९०५	1905
१९०७	1907
१९०६	1906
ए सी एफ फिओरेंटीना	ACF Fiorentina
एचटीएमएल फाइव	HTML5
१९०८	1908
१९०९	1909
१९९२	1992
१९९१	1991
१९९०	1990
१९९३	1993
१९९४	1994
१९९५	1995
१९९६	1996
१९१०	1910
१९११	1911
१९१२	1912
लिपजिग	Leipzig
१९१३	1913
१९१४	1914
१९१५	1915
१९१६	1916
१९९७	1997
१९९८	1998
१९९९	1999
१९१७	1917
१९१८	1918
भोजन	Alimento
साँप	Serpente
ज़्याक शिराक	Jacques Chirac
प्रकाश का वेग	Velocidade da luz
एक्स॰एम॰एल॰	XML
इरुमेशियो	Sexo oral
न्यूट्रिनो	Neutrino
वरुण के प्राकृतिक उपग्रह	Satélites de Netuno
सन गोकू (ड्रैगन बॉल)	Son Goku
क्यूबेक नगर	Quebec (cidade)
१ जनवरी	1 de janeiro
२ जनवरी	2 de janeiro
अरुण के प्राकृतिक उपग्रह	Satélites de Urano
सुभाष चन्द्र बोस	Subhas Chandra Bose
१९२०	1920
३ जनवरी	3 de janeiro
१९१९	1919
१९२१	1921
१९२२	1922
४ जनवरी	4 de janeiro
१९२३	1923
१९२४	1924
क्षुद्रग्रह घेरा	Cintura de asteroides
जेपीईजी	Joint Photographic Experts Group
बौना ग्रह	Planeta anão
५ जनवरी	5 de janeiro
एरिका	Arica
६ जनवरी	6 de janeiro
इलेक्ट्रॉन	Elétron
७ जनवरी	7 de janeiro
८ जनवरी	8 de janeiro
वेलीकी नोव्गोरोड	Veliky Novgorod
९ जनवरी	9 de janeiro
१० जनवरी	10 de janeiro
११ जनवरी	11 de janeiro
१२ जनवरी	12 de janeiro
बज़ एल्ड्रिन	Buzz Aldrin
१३ जनवरी	13 de janeiro
बर्मिंघम	Birmingham
१४ जनवरी	14 de janeiro
१५ जनवरी	15 de janeiro
१६ जनवरी	16 de janeiro
टॉम हैंक्स	Tom Hanks
१७ जनवरी	17 de janeiro
१८ जनवरी	18 de janeiro
१९ जनवरी	19 de janeiro
२० जनवरी	20 de janeiro
औद्योगिक क्रांति	Revolução Industrial
बेंजीन	Benzeno
२१ जनवरी	21 de janeiro
२२ जनवरी	22 de janeiro
२३ जनवरी	23 de janeiro
रोमन साम्राज्य	Império Romano
२४ जनवरी	24 de janeiro
२५ जनवरी	25 de janeiro
मिन्‍स्‍क	Minsk
२६ जनवरी	26 de janeiro
माइक्रोसॉफ़्ट	Microsoft
२७ जनवरी	27 de janeiro
२८ जनवरी	28 de janeiro
२९ जनवरी	29 de janeiro
३० जनवरी	30 de janeiro
३१ जनवरी	31 de janeiro
त्वेर ओब्लास्ट	Oblast de Tver
चक	Chuck (série)
प्रोटॉन	Próton
२ दिसम्बर	2 de dezembro
१ दिसम्बर	1 de dezembro
३ दिसम्बर	3 de dezembro
७ दिसम्बर	7 de dezembro
५ दिसम्बर	5 de dezembro
८ दिसम्बर	8 de dezembro
१० दिसम्बर	10 de dezembro
६ दिसम्बर	6 de dezembro
९ दिसम्बर	9 de dezembro
पिंक फ़्लॉइड	Pink Floyd
४ दिसम्बर	4 de dezembro
१ फ़रवरी	1 de fevereiro
२ फ़रवरी	2 de fevereiro
३ फ़रवरी	3 de fevereiro
कुरुफ़	Kurów
४ फ़रवरी	4 de fevereiro
५ फ़रवरी	5 de fevereiro
६ फ़रवरी	6 de fevereiro
७ फ़रवरी	7 de fevereiro
८ फ़रवरी	8 de fevereiro
९ फ़रवरी	9 de fevereiro
१० फ़रवरी	10 de fevereiro
रसायन शास्त्र	Química
१४ फ़रवरी	14 de fevereiro
१३ फ़रवरी	13 de fevereiro
१५ फरवरी	15 de fevereiro
११ फ़रवरी	11 de fevereiro
१२ फ़रवरी	12 de fevereiro
रोबिन वन पेर्सिए	Robin van Persie
१९ फरवरी	19 de fevereiro
१७ फ़रवरी	17 de fevereiro
१६ फ़रवरी	16 de fevereiro
१८ फ़रवरी	18 de fevereiro
२० फ़रवरी	20 de fevereiro
विश्लेषी रसायन	Química analítica
न्यूट्रॉन	Nêutron
२१ फ़रवरी	21 de fevereiro
२२ फ़रवरी	22 de fevereiro
२३ फ़रवरी	23 de fevereiro
२४ फ़रवरी	24 de fevereiro
२५ फ़रवरी	25 de fevereiro
२६ फरवरी	26 de fevereiro
२७ फ़रवरी	27 de fevereiro
२८ फ़रवरी	28 de fevereiro
११ दिसम्बर	11 de dezembro
२९ फ़रवरी	29 de fevereiro
१२ दिसम्बर	12 de dezembro
सी शार्प	C Sharp
विज़ुअल बेसिक	Visual Basic
१३ दिसम्बर	13 de dezembro
१४ दिसम्बर	14 de dezembro
१५ दिसम्बर	15 de dezembro
२ मार्च	2 de março
३ मार्च	3 de março
५ मार्च	5 de março
१ मार्च	1 de março
७ मार्च	7 de março
८ मार्च	8 de março
४ मार्च	4 de março
